Orig Query,New Query,Found,Match Rank,Rank,Probability
kralova,kralosovdva,1,1,22,12.1212121212121
krusinec,kcrusinioesc,1,2,3,33.3333333333333
horny mostenec,hlorntyb mostxrenec,1,3,6,11.1111111111111
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 4,sloevak arychivoes  jewiskbsh census 1942 townxshxips and commrunitires	slovak archives rerel 2  box 185 file 4,1,5,8,14.2857142857143
vola,vgorola,1,19,101,1.33333333333333
bobrovec,wbhobrqaovec,0,0,1,NaN
hankova,harnkkkgova,1,1,19,12.0
trnavka,ztrnfajvwka,0,0,13,0.0
kolbovce,kolibpuovcae,1,8,19,4.54545454545455
tura luka,turagkmi luka,1,4,16,9.09090909090909
krajna polana,kraqjnda poczlarna,1,1,21,12.5
mutne,mptutnte,1,9,25,5.40540540540541
kopcany,kyqopcaznay,1,13,19,4.54545454545455
slovenska ves,lslovmenskav vmzes,0,0,3,0.0
visolaje,vigasoglajse,1,13,25,3.44827586206897
budkovce,wbufdkcovpce,0,0,1,NaN
nizny medzev,nizny vlmedzewkv,1,1,6,33.3333333333333
spissky strvtok,spiossky otsmitrvtok,1,1,8,30.7692307692308
casta,kcalskta,0,0,21,0.0
slanec,slxatpnec,1,2,6,25.0
podolie,opoemdoltie,0,0,8,0.0
litava,litmeyava,1,6,24,6.25
bystre nad toplou,biygasltre nad tojplou,1,3,4,20.0
zliechov,zlieqvcprhov,1,1,7,28.5714285714286
karlova ves,kahnrlova vetgs,1,4,6,20.0
blatne revistia,blatbne reveizstslia,1,2,18,8.33333333333333
liptovska osada,iliptovsatxka aosada,0,0,4,0.0
vrbov,evzrzbov,0,0,1,NaN
trencin,qtqremncrin,0,0,1,NaN
vysny hrusov,vlysgny hjfrusov,1,5,7,14.2857142857143
dolna strehova,dodqlnpag strehovza,1,4,17,10.0
smolnicka huta,smolznoicksa ihudta,1,9,41,3.92156862745098
hradok,ghragdtok,0,0,2,0.0
sarisske luky,saribssnlke lukggy,1,2,12,15.3846153846154
levoca,nloevqoca,0,0,16,0.0
spisske vlachy,sdpisjaxskye vlachy,1,8,12,7.69230769230769
horne byhymcine,hsbosrnqe byhyymcine,1,6,30,5.55555555555556
maly slavkov,marblwy slatvkov,1,1,8,15.3846153846154
palin,pnasdlin,1,3,6,16.6666666666667
liptovska luzna,ljxiicptovskya luzna,1,23,24,3.33333333333333
neverice,nfezaverlice,1,2,8,22.2222222222222
viaska potvorice,kviaskqa pzotvoriilce,0,0,19,0.0
nova bystrica,nova bygtistscrica,1,3,16,10.0
trocany,tproycooany,1,7,8,9.09090909090909
zarnovica,zaeernocvioca,1,2,13,13.3333333333333
cigel,cfigfael,1,1,2,100.0
velky bysterec,tvelkcy byshtezreuc,0,0,2,0.0
turany,wtburbany,0,0,1,NaN
sabinov,sabimnsqolv,1,1,11,17.6470588235294
dolne bzince,dlolner bzincene,1,7,18,5.26315789473684
velky saris,wvaeelky nsaris,0,0,1,NaN
velke kozmalovce,veflke kdozmalsovddce,1,5,25,5.12820512820513
simonovany,simoncvovaqiny,1,2,12,14.2857142857143
biksard,brviksjbard,1,1,2,100.0
velke ozorovce,veplkie fozogqrovce,1,6,25,5.12820512820513
skacany,sdczklacany,1,6,13,6.66666666666667
lubochna,mkblukbochna,1,14,17,5.0
porac,hporllac,0,0,6,0.0
kocurany,kcocurldgany,1,5,19,4.54545454545455
modra,smrodrna,0,0,41,0.0
dubravka,bdubrfavkbpa,0,0,18,0.0
revuca,xretpvuca,0,0,1,NaN
lasovce,wylausovlce,0,0,1,NaN
zelene,kxztelene,1,17,20,3.7037037037037
svercov,svdlerzccov,1,1,11,15.7894736842105
valkov,viatlpkov,1,4,7,11.1111111111111
giraltovce,girhalhqtovgce,1,1,5,44.4444444444444
lom nad hronom,glom jnaido hrognom,0,0,1,NaN
spissky hrusov,gdyspkissky hrusotv,0,0,4,0.0
cigelka,ctjigdehlka,1,5,9,10.0
svidnicka,svidnnizcpqka,1,7,41,3.92156862745098
klastor pod znievom,klastor poxd znikeovrdom,1,1,4,40.0
humensky rokitov,humxensky lrmokfitbov,1,2,7,25.0
mast,mvabast,1,10,77,2.06185567010309
rokovo,wrpoukovo,0,0,1,NaN
vapenik,zqivapenitk,0,0,2,0.0
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 3,slovafk azrxwchcives b- jewish census 1942 townships vand communities rveel 4  box 192 fjiley 3,1,4,11,10.0
licartovce,klyicartovdgce,0,0,19,0.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 2,slovak arwrchives  jewishk census 1942 townshilpisz and communities	slovnak arcmhatives ryeel 2  box 185 file 2,1,8,11,10.0
work camps in zilina county (documented by the hg),worfk campnas in zilmina ycobuntty (documoented by the hg),1,1,2,100.0
mestecko,kmezstejckso,0,0,4,0.0
malcov,gmalwcrov,0,0,4,0.0
svaty peter,svamty mpfeteir,1,2,5,20.0
zehra,fzemhsra,0,0,1,NaN
budimir,wbudilimiwr,0,0,1,NaN
slovak archives jewish census 1942 townships and communities slovak archives reel 2  box 184 file 1,slovazk harhchives jewishx census 1s942 towenships anfd commufnities slovaky archives rebel 2  boxu 184 file 1,1,6,10,11.1111111111111
velky ruskov,vedlkayl ruskxov,1,2,7,25.0
lipovec,kliapotverc,0,0,3,0.0
erdulka,erxdulrzkka,1,1,2,100.0
slopna,nslolpvna,0,0,16,0.0
obyce,dobbgyce,0,0,18,0.0
horne bzince,hforne blziznhce,1,25,30,2.77777777777778
petrovce,pentrouvvice,1,4,18,8.0
holic,vhowdlic,0,0,5,0.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 6,slovak archivesb  jewish census 1942 townships and wcomvmunitieds	slovack archigves yresel 2  boxc 184 filbey 6,1,5,6,20.0
hvozdnica,hvosdzbdhnica,1,1,19,18.1818181818182
papin,papiaeen,1,1,6,33.3333333333333
velicna,velfiricpna,1,1,30,8.33333333333333
nadlice,narrdaliice,1,1,8,27.2727272727273
valasovce,valarsofvmcce,1,5,25,6.45161290322581
velka,gvelnkta,0,0,3,0.0
zazriva,zkazrhivcna,1,9,13,7.14285714285714
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 4,slovak arcqhives - jewish dcenzsus q1942 townshpipbls and comtmunitmies reel 4h  box 191 file 4,1,2,8,14.2857142857143
pcoline,puoctoaline,1,3,18,9.52380952380952
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 1,slovak archxives jewish cenxsusx 1942 townshuips xand communitiesz slovak archiveqs reel 3e b bvox 188 fizle 1,1,4,10,11.1111111111111
zem. pohradie,zem. wpiothraldsie,1,3,16,10.5263157894737
vysnie cabiny,gvyslnie cagbicnny,0,0,3,0.0
slovak archives jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 7,slojvak pbparchives jewish cejnsus 1942 htownshigps andy cosmmuunities	slovakl archives reel 2  box 185 file 7,1,2,3,50.0
nova ves,njova evhxes,1,4,5,20.0
plavec nad popradom,plavhepc nnad pjoprapdom,1,1,4,50.0
cachtice,cohacphtnice,1,7,10,10.0
selce,soselcxe,1,6,35,3.27868852459016
hornia ves,xhorniav ovpes,0,0,1,NaN
hostovce,hostfozorvce,1,9,30,4.16666666666667
kojsov,koqjsnoxv,1,1,11,16.6666666666667
kunov,kunoxdhv,1,2,11,13.0434782608696
varin,vyarikjn,1,3,7,18.1818181818182
stropkov,usvtruobpkov,0,0,3,0.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 6,oslovak archives jewirslh census 1942 tziownshipsz and communritiexs cslovak archivwes reel 3  box 187 fiwle 6,0,0,1,NaN
povazska bystrica,unpovbazska tbystdrica,0,0,4,0.0
benice,bewrnicge,1,13,20,3.57142857142857
lipiany,qzglipianiy,0,0,1,NaN
lieskovec,xlieskwaovlec,0,0,1,NaN
plavecky stvrtok,npzlavecky pstvrestok,0,0,4,0.0
roznavske bystre,roznaaavske rbystjtre,1,1,9,20.0
zemianske lieskove,zemianske latitewslkove,1,1,16,15.0
podbiel,pqodbizewel,1,1,2,100.0
parchoviany,wparchovqiannvy,0,0,1,NaN
lemesany,lemowesankty,1,3,6,25.0
nizna lipnica,snmiznoca loipnica,0,0,41,0.0
milbach,dmixqlbacoh,0,0,1,NaN
vychodna,vubychomadna,1,18,30,3.03030303030303
zbudza,znbeudcza,1,11,13,5.55555555555556
trencianske teplice,trseincciannske teplirce,1,2,7,20.0
poltar,opogzltar,0,0,1,NaN
borov,vbomrkov,0,0,7,0.0
sliepkovce,slxliekpkdovce,1,5,35,4.44444444444444
cecehov,ccvoecehopv,1,4,7,14.2857142857143
nemsova,wnvuiemsova,1,1,2,100.0
rakova,rakuomjva,1,2,13,8.69565217391304
banovce nad ondavou,banbolvcne naad ondavonu,1,2,4,40.0
plavnica,pplavhniilca,1,4,16,9.52380952380952
svaty kriz nad vahom,svmaty kryiz unadzy vahom,1,1,5,44.4444444444444
novot,snoavoxt,0,0,1,NaN
hrabusice,hruybabusjice,1,1,30,10.5263157894737
brakov,bberadkov,1,6,11,10.5263157894737
klacany,klachanlvmy,1,6,19,4.54545454545455
jacovce,jauycfoqvce,1,2,5,30.0
turiany,tnuripawuny,1,5,8,9.09090909090909
cajkov,tkcajkogv,0,0,2,0.0
lukacovce,jlukajczovcoe,0,0,5,0.0
upor,upapobr,1,6,18,8.69565217391304
podkrivan,jpodekirivagn,0,0,2,0.0
smolinske,smonlinnyskre,1,11,35,2.4390243902439
velke bielice,cvtelke mbieligcte,0,0,10,0.0
raztoky,rpaztoqkoiy,1,5,9,12.5
zbudsky rokytov,vzbhuddsky rokytgopv,0,0,7,0.0
niznia radvan,niznipga razedvaan,1,1,2,100.0
slanica,slautnnicka,1,3,41,4.0
nemecky grob,nemecktfy bvgrob,1,1,2,100.0
slatina nad bebravou,slatinak nadj hbebrahvoou,1,1,4,57.1428571428571
dolny kamenec,tdolny skqamennfec,0,0,2,0.0
senica nad myjavou,seanicxsa nadn mypjavou,1,2,4,33.3333333333333
velky bab,vcelkye bdfab,1,1,2,100.0
cukalovce,cuqkannlotvce,1,2,10,18.1818181818182
sielnica,sirewvlnaica,1,8,41,3.92156862745098
ocova,focovlha,0,0,1,NaN
jastrable,jjmastnrazble,1,4,5,20.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 3  box 186 file 4,slovak archives  jewish census 194t2 htofwnships and covzmomkunintiesq	sloivadk archives reel 3  box 186 file 4,1,6,8,14.2857142857143
majcichov,lmajucicphiov,0,0,1,NaN
tubrina,ttdubrinuva,1,3,16,10.0
zavar,nhzavcar,0,0,2,0.0
jastraba,fjabstigraba,0,0,1,NaN
trhoviste,tstorhovistqe,1,3,7,14.2857142857143
nove mesto nad vahom,jnove mzeysto nytad vahom,0,0,1,NaN
gaboltov,ghalborltqov,1,1,4,50.0
vysna zubrica,vysnao vqzsubriwca,1,4,30,5.88235294117647
bzovik,bvzovvvik,1,1,3,66.6666666666667
liptovsky svaty mikulas,liptovskyt svabty njmikuilhas,1,1,3,66.6666666666667
turik,wtyumrik,0,0,1,NaN
lubica,blnoubica,1,15,19,3.57142857142857
koskovce,rkoygskovcte,0,0,9,0.0
ceske brezovo,mxcfesqke brezokvo,0,0,3,0.0
rakovcik,riagkovicdik,1,3,5,16.6666666666667
rybary,rybxepary,1,1,9,22.2222222222222
dubnica nad vahom,adubnica nadt vgahrolm,0,0,2,0.0
dolne drzkovce,doylnew bhdrzkgovce,1,10,18,6.89655172413793
mestisko,mrefnfstisko,1,1,3,66.6666666666667
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 2,slovak aircbhivdesl  jewgish census 19e42 townships nand communitcies	slovafuk archives reel 2  box 186 fbile 2,1,9,11,10.0
telgart,eteyylgahrt,0,0,1,NaN
vysny mirosov,vysnvy qsmjeirosov,1,1,7,22.2222222222222
urmince,kurmwionche,0,0,19,0.0
cierne pole,ciemrne pcowile,1,2,10,18.1818181818182
remeniny,iremyveniniy,0,0,1,NaN
pricka,xprrihcka,0,0,1,NaN
baranc,xfpbaranc,1,1,2,100.0
pstrina,pmusteriona,1,8,16,4.76190476190476
polhore,phorlhopmre,1,15,18,4.76190476190476
lednicke rovne,kledonhictkne rovne,0,0,19,0.0
brezova nad bradlom,brezjova nad bbrjraadlom,1,2,3,33.3333333333333
stubove teplice,stubdxove teyekplice,1,1,35,4.44444444444444
zupkov,tzhupkowv,0,0,2,0.0
okruhle,rgokhcruhle,0,0,9,0.0
rakovec nad ondavou,urakovecd neadl onvdavou,0,0,2,0.0
dolna krupa,doylxina hkrupa,1,1,17,19.047619047619
bosany,jboswdany,0,0,4,0.0
stara lesna,stkaarnia lesna,1,7,41,3.57142857142857
dolne zemberovce,dvooilhne zemberovzce,1,11,18,5.26315789473684
busevce,buusdegvpce,1,7,20,6.45161290322581
muran,mwuhraln,1,2,6,20.0
kudlovce,keudlqaosvce,1,9,19,4.54545454545455
cifer,kcjiqfer,0,0,2,0.0
male zaluzice,mauznle zzaluzicfe,1,19,25,3.2258064516129
devinska nova ves,qedevinskka cnova vecs,0,0,1,NaN
bodruzal,rbnodruhzoal,0,0,2,0.0
vyrava,vyyrwavxa,1,1,30,10.2564102564103
tokajik,ntokmmacjik,0,0,4,0.0
biskupice pri dunaji,biskeumpiceg prip dunajoi,1,1,3,66.6666666666667
velka bytca,velka zubcytkca,1,1,30,10.8108108108108
spisske. tomasovce,sopxisske. tomgassovcde,1,20,35,2.4390243902439
chotca,chotcrtsa,1,2,9,18.75
zemanska kotesova,zembsanska kotexoesova,1,3,13,12.5
vesele,vesepzdle,1,1,25,15.0943396226415
dolne plachtince,doelnne plazcobhtince,1,1,18,13.7931034482759
vazec,vazewnnc,1,2,5,27.2727272727273
straze nad myjavou,strcaze nad mygxtjavopu,1,2,4,40.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 1,slovak asrchives  qjewish census 1942 townsxhips and communities	sblomvak anrchivves reyel b2  box k185o file 1,1,7,10,11.1111111111111
svaty jur,ssivaty djhur,1,4,5,20.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 1,slovkak archives wo jewish cceansus 19x4l2 towxnships and comimunities	slxovak archives rteel 2  box 186 file 1,1,8,10,11.1111111111111
bela nad cir,gbelda gnadd cir,0,0,1,NaN
kochanovce,kochandovhxsce,1,5,19,5.88235294117647
laclava,laocplavsfa,1,9,24,3.33333333333333
tovarniky,tyovaosrnikvy,1,4,8,18.1818181818182
pruzina,apuruzninna,0,0,1,NaN
uhorsky zipov,uhorursky zluidpov,1,1,3,50.0
maly saris,malye shiayris,1,1,3,66.6666666666667
medzibrodie nad oravou,mtkedizigbrnodie nad oravtou,1,2,4,25.0
dolna streda nad vahom,dolna strveda nad hvfahtnyom,1,1,3,66.6666666666667
fekisovce,feykpisaoovce,1,1,4,50.0
slovak archives jewish census 1942 townships and communities slovak archives reel 2  box 184 file 2,slovak arcohives qjewish cernsurs 1942 towsnships and communieties slovpak arcehives jreel 2 g box 184 file c2,1,7,11,10.0
biely kostol,biely wkoisswtol,1,1,3,66.6666666666667
slovak archives jewish census 1942 townships and communities slovak archives reel 3 box 186 file 3 c,slovak archives jewish cewnsus 1g942 townxshipbs afnd cnommunieties slwovak archizvoes reel 3 box 186 filme 3 c,1,1,6,28.5714285714286
dojc,dovljnc,1,8,60,2.73972602739726
velke levare,vrelkve ljevfare,1,3,25,6.89655172413793
vyhne (tabor),qevyhne (toqabcor),0,0,1,NaN
kostolne moravce,kostolplne modtdravce,1,9,19,5.88235294117647
helpa,helpalna,1,1,19,24.0
hajniky,fhaijnjioky,0,0,1,NaN
nova ves nad zitavou,vnova ves naydj zitwavolu,0,0,3,0.0
svinia,svinwitaa,1,8,41,3.65853658536585
smilno,sspmilhno,1,1,3,66.6666666666667
velke bukovce,velkben dlbukovqce,1,7,25,5.12820512820513
humenne,lychyumenne,1,1,18,15.7894736842105
borsky svaty mikulas,borzsky zsvyaty vmikulsas,1,1,3,66.6666666666667
nedasovce,nepdvasovctve,1,6,8,11.1111111111111
mlynarovce,mlhyynanrovice,1,3,25,6.25
police headquarters in bratislava (continued),polvice headkqusgartersp in bnratyislamva (continued),1,1,2,100.0
liptovsky hradok,sliptovtsuyky hmradok,0,0,8,0.0
sirk,silbruk,1,27,188,0.840336134453782
racanov,qracanbbjov,0,0,1,NaN
pald,vpadgld,0,0,101,0.0
jablon,jamabclon,1,1,2,100.0
vrbovec,vrlbnoveanc,1,1,5,40.0
risnovce,risinjpoovce,1,1,9,20.0
tulcik,tucctlcik,1,1,4,50.0
iliasovce,cilyziascovce,0,0,10,0.0
klokocov,ksloqkeocpov,1,5,11,9.09090909090909
gelnica,gvexlonixca,1,1,3,75.0
hrusovany,ohrzurtsovany,0,0,3,0.0
drahovce,jzdrahovncze,0,0,5,0.0
bosaca,jboyslaca,0,0,5,0.0
niklova,edxniklocva,0,0,2,0.0
pecenady,pebmchenpady,1,1,7,22.2222222222222
liborce,leiboifzrce,1,5,17,5.55555555555556
danova,daqgnodva,1,2,17,10.0
velke surovce,gvnelkxce suroovce,0,0,5,0.0
strezenice,zstrezensjicoe,0,0,16,0.0
nemcice,npegvmecice,1,3,8,11.1111111111111
backov,fbaczdkov,0,0,1,NaN
modranka,vymeodjranka,0,0,30,0.0
granastov,grjanasuctocv,1,3,4,25.0
dvorniky,djvorrnikgky,1,5,7,14.2857142857143
sintava,sidzngtaxva,1,2,41,5.76923076923077
breznicka,ibreuzntiocka,0,0,4,0.0
dubovica,dieubtovicca,1,6,17,5.26315789473684
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 183 file 2,slovak archivpies  jepewish census 1942 touwmnshiprms and communities	slovbak archives reel 2  box 183b filke 2,1,10,11,10.0
vilagy,vqiplagby,1,12,13,6.66666666666667
uherska reslavica,uhersika rzeslavkkicea,1,3,4,33.3333333333333
betlanovce,bjetlarnovocwe,1,11,20,4.16666666666667
nemecka,nexmjeckwma,1,11,16,5.26315789473684
machalovce,machalpovucufe,1,22,25,3.2258064516129
baldovce,obaildovacce,0,0,8,0.0
hranovnica,hovranocvncica,1,12,19,4.54545454545455
dobra,dtoabrra,1,10,17,3.57142857142857
abraham,apbrnqahahm,1,1,2,100.0
krajna bystra,kfrajnygzia bystra,1,9,21,3.7037037037037
dolnie mladonice,doqnlfnieaq mladonice,1,9,18,6.89655172413793
most nad grutiou,myost nvadl grutiworu,1,3,4,25.0
ubrez,qbubrbez,0,0,1,NaN
gribov,gribbahov,1,2,4,40.0
brdarska,nubardarskta,0,0,16,0.0
ilava,mmyilava,1,5,22,5.88235294117647
vysoka,vynsbeoka,1,2,30,5.88235294117647
zakopcie,zavkopcsipre,1,11,16,5.55555555555556
roskoviany,qrostkuoviabny,0,0,1,NaN
sasov,sgarstov,1,8,13,3.57142857142857
chlumec nad vahom,cihnluwmec nad fbvahom,1,1,3,50.0
solosnica,solosdnljijca,1,1,41,7.69230769230769
vysny orlik,vysnny oerlidck,1,6,8,12.5
slovenske klacany,slxovenske ktlachlavny,1,3,12,13.3333333333333
spisska nova ves,spisska dnovata xveos,1,1,4,50.0
breznica,kbrpeeaznica,0,0,21,0.0
myslina,iqmnysflina,0,0,4,0.0
dolny hricov,deoglfwny hricov,1,1,6,33.3333333333333
bidovce,vbciyadovce,0,0,25,0.0
sabotiste,crszaabotiste,1,1,11,16.6666666666667
medvedzie,gmedvebdjzioe,0,0,5,0.0
bertotovce,bertotdtovczse,1,16,20,4.16666666666667
chabazany,chabbabzalnpy,1,1,7,16.6666666666667
detva,detvvtaa,1,2,17,10.0
banska stiavnica,bahnskas stiavawnsica,1,1,18,14.8148148148148
unin,eunigan,0,0,2,0.0
ondrasova,orndravsonvaa,1,1,7,16.6666666666667
bytcica,bytmicewica,1,1,18,12.0
maly cepcin,vmaly cehxpcian,0,0,7,0.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 5,slovak archives  jjewishs census 1u942 towlanshipys and commzdunities	slovak archmivges rerel 2  box 184 file 5,1,5,6,20.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 3,slovask archivgess jewisfh census 1942 townshipjs and lcommunitiefsl slogvavka archives reel 3  box 188 file 3,1,5,11,10.0
bucany,bjukcanry,1,3,6,16.6666666666667
trnava,otrndavia,0,0,7,0.0
kolarovice,kdorlarovrirce,1,12,19,4.54545454545455
zabokreky nad nitrou,zabookreky qinxad initrou,1,1,2,100.0
/-t,osh/-t,1,7,21,4.54545454545455
stupava,stmupavvaza,1,29,41,1.96078431372549
lukov nad teplou,nklukjov npad tepblou,0,0,3,0.0
celovce,hcelowvqwce,0,0,30,0.0
nolcovo,idnovhlcovo,0,0,1,NaN
sarisske dravce,sarkisshkted drahvce,1,1,35,4.76190476190476
nacina ves,nacfiniai veps,1,3,5,20.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 4,slovak archives jezwiszhm cencsuats 1942 townships and communities slovak archlives regerl 3  box 187t filje 4,1,4,8,14.2857142857143
